	Alicante_bouschet	Aligot	Almeria	Aramon	Bclan	Black_corinth	Burger	Cabernet_franc	Cabernet_sauvignon	Calmeria	Cardinal	Carignane	Chardonnay	Chasselas_cioutat	Chasselas_dor	Chenin_blanc	Cinsaut	Clairette_blanche	Colombard	Cornichon	Dabouki	Dattier	Durif	Emperor	Flame_tokay	Folle_blanche	Gamay_noir	Gewrtztraminer	Grand_noir	Grenache	Italia	Malbec	Mataro	Melon	Merlot	Meunier	Mller-Thurgau	Mondeuse	Muscat_blanc	Muscat_hamburg	Muscat_of_alexandria	Olivette_blanche	Olivette_noire	Perla_di_csaba	Perlette	Pinot_noir	Ribier	Saint_milion	Sauvignon_blanc	Sauvignon_vert	Smillon	Sylvaner	Syrah	Tannat	Terret_gris	Thompson_seedless	Traminer	Truosseau	White_riesling	Zinfandel
Muscat_hamburg	0.099448083	0.147109302	0.092712465	0.14496083	0.098115403	0.144820938	0.118442707	0.096297094	0.133713427	0.101869284	0.098685676	0.140712298	0.127900218	0.248342201	0.105093129	0.108695648	0.092134636	0.108869196	0.127789344	0.079296075	0.101589326	0.109186147	0.099041351	0.114417274	0.107019599	0.119342455	0.157471909	0.190447119	0.094756672	0.126580289	0.121092865	0.114274064	0.071966055	0.123810862	0.108488108	0.108047405	0.163626096	0.064505383	0.068244148	0	0.119514414	0.087982684	0.085213185	0.163001511	0.127626938	0.117047921	0.084029776	0.080529637	0.102863368	0.144845697	0.082094852	0.175325823	0.062420006	0.085479058	0.083811912	0.10240449	0.130372673	0.162070521	0.157165244	0.228664774
Muscat_of_alexandria	0.13113648	0.188501766	0.085285598	0.207570156	0.065034468	0.158043229	0.123144766	0.083709713	0.086071732	0.165375507	0.133939731	0.107758707	0.184558893	0.239051384	0.066806367	0.112790546	0.107959319	0.078747434	0.178997525	0.075771754	0.07521576	0.145367162	0.081406266	0.094022603	0.162311579	0.111359343	0.077261308	0.191841719	0.100361	0.147156052	0.083838547	0.16402309	0.127895778	0.159614418	0.103238166	0.08198121	0.09896273	0.113756409	0.091156288	0.119514414	0	0.104818328	0.085038603	0.19313178	0.155250603	0.170898216	0.100506399	0.101694575	0.09969172	0.202846864	0.132405504	0.208572484	0.107585812	0.150898424	0.077227431	0.155861845	0.183104067	0.192408595	0.129576717	0.165036322
Olivette_blanche	0.081508597	0.147359337	0.083664654	0.167777633	0.07967599	0.116409219	0.10143157	0.067057106	0.132777708	0.124707292	0.092910764	0.140374913	0.149368616	0.26284639	0.092767836	0.118179845	0.106606829	0.078514594	0.152728212	0.082972375	0.061440723	0.103815303	0.089907343	0.101161735	0.119567463	0.068029568	0.143160831	0.131114637	0.0913341	0.157254906	0.07125979	0.099798047	0.083124648	0.113487196	0.113486184	0.07258965	0.14936076	0.082762842	0.082211705	0.087982684	0.104818328	0	0.088346511	0.147284487	0.129549528	0.109087165	0.084996516	0.114311665	0.113322188	0.164199043	0.090104547	0.168184176	0.090526829	0.098850343	0.079920922	0.107145759	0.110448257	0.150579877	0.128471636	0.234562401
Olivette_noire	0.099443234	0.144213475	0.088921388	0.140728415	0.077776355	0.137006429	0.138122389	0.091281308	0.096842471	0.106252656	0.107688869	0.089707191	0.132169741	0.271229965	0.098845006	0.070007953	0.08145484	0.088068042	0.117828988	0.062262402	0.082599698	0.104287746	0.089173008	0.088668741	0.107491461	0.122336281	0.114493991	0.188062221	0.075775727	0.100787684	0.100708571	0.117853554	0.099727594	0.112698405	0.058535148	0.098710847	0.116099553	0.078172622	0.072759388	0.085213185	0.085038603	0.088346511	0	0.144035873	0.102497864	0.128723919	0.067628958	0.068142899	0.068242503	0.140022207	0.08650231	0.153001164	0.08276651	0.107094521	0.057905579	0.104246971	0.143492095	0.139298843	0.129987371	0.179648414
Perla_di_csaba	0.119134506	0.083067726	0.17176744	0.092908656	0.174232313	0.121787818	0.20624725	0.160680699	0.177594067	0.108904433	0.119734841	0.151804198	0.095925786	0.359789782	0.189934216	0.131530077	0.155219183	0.158705467	0.099467608	0.163020505	0.150029211	0.091065107	0.158226317	0.170184553	0.104398409	0.17161624	0.202536044	0.170129445	0.145378454	0.161123834	0.17530248	0.083794216	0.14976331	0.076290015	0.132151571	0.179522587	0.193470705	0.132520401	0.155628792	0.163001511	0.19313178	0.147284487	0.144035873	0	0.096814598	0.088278262	0.124531984	0.157521435	0.139528828	0.083565325	0.123809011	0.074074766	0.164066429	0.108722804	0.148609093	0.120567428	0.095308017	0.076219388	0.164491433	0.246792439
Perlette	0.100791416	0.094456197	0.143228768	0.10417115	0.146729114	0.127357586	0.198914802	0.146442235	0.158976101	0.091097783	0.127046953	0.128382801	0.085221293	0.336213083	0.162156921	0.101204107	0.135092047	0.12866558	0.092130404	0.140272782	0.138380616	0.083952806	0.149356463	0.132173103	0.073323077	0.166009207	0.172006466	0.187322306	0.12297172	0.116701194	0.159087092	0.10092947	0.125908814	0.071506176	0.108086912	0.160378248	0.169406084	0.101038695	0.12321058	0.127626938	0.155250603	0.129549528	0.102497864	0.096814598	0	0.095389215	0.090098915	0.122077447	0.107260702	0.089895176	0.126572768	0.101337457	0.142639284	0.087855228	0.106743328	0.082282844	0.11746793	0.088986147	0.151505185	0.218318095
Pinot_noir	0.081787766	0.076320703	0.140087691	0.110958186	0.144148936	0.098836175	0.177821312	0.130585981	0.176697332	0.093088565	0.104913684	0.160867242	0.080867737	0.327439533	0.160725328	0.130193139	0.146325103	0.133023568	0.120165171	0.135611163	0.127484563	0.068509706	0.137185878	0.148597301	0.084920896	0.137053811	0.194892991	0.144580437	0.137384565	0.157933132	0.146708175	0.073149566	0.107210422	0.067736003	0.13555442	0.150429407	0.188760046	0.104952224	0.124336413	0.117047921	0.170898216	0.109087165	0.128723919	0.088278262	0.095389215	0	0.095644629	0.14142888	0.126579253	0.101809141	0.107795258	0.120326167	0.134392589	0.071140303	0.127552072	0.083575439	0.041519961	0.099505255	0.153852694	0.263875207
Ribier	0.075173214	0.106340082	0.085245487	0.136680182	0.092720713	0.105035783	0.144513409	0.089352287	0.113157846	0.094889258	0.094135377	0.092568927	0.102547322	0.279804795	0.100706495	0.076247619	0.082149286	0.072217318	0.112334047	0.081498722	0.080537073	0.074837524	0.090273895	0.095358239	0.087312628	0.113765801	0.130328749	0.169025818	0.088450197	0.110080107	0.102064228	0.098624979	0.097321176	0.084405403	0.075231505	0.1052356	0.129063251	0.077463818	0.061332498	0.084029776	0.100506399	0.084996516	0.067628958	0.124531984	0.090098915	0.095644629	0	0.078346638	0.064753395	0.125590445	0.095323553	0.144147296	0.088754166	0.083473162	0.060623786	0.089580959	0.115620924	0.126805279	0.120372206	0.198933484
Saint_milion	0.121095469	0.155151697	0.106097887	0.139407522	0.097933261	0.159067859	0.143169259	0.092457713	0.07851404	0.106768275	0.110105967	0.082421863	0.133182532	0.265269564	0.095925946	0.07982617	0.073342823	0.101526035	0.116837916	0.085117949	0.097815463	0.118813419	0.092498075	0.092807613	0.122622561	0.138742024	0.116509931	0.207035255	0.073986995	0.099481433	0.123819536	0.127846222	0.096862776	0.121409541	0.059333113	0.121548453	0.11784838	0.071533724	0.083622825	0.080529637	0.101694575	0.114311665	0.068142899	0.157521435	0.122077447	0.14142888	0.078346638	0	0.079991799	0.146798506	0.100568952	0.162758761	0.083405117	0.110673007	0.076941461	0.124223541	0.161244041	0.159665557	0.140037872	0.165530473
Sauvignon_blanc	0.112206032	0.132511377	0.107464127	0.14693226	0.11061605	0.138158933	0.161821713	0.105833319	0.102651729	0.111448158	0.123417869	0.087390653	0.124433344	0.281376194	0.104539484	0.049056464	0.099955412	0.097288821	0.113463915	0.0846287	0.095304617	0.109547246	0.083761043	0.109214981	0.112086919	0.131860908	0.123174189	0.198262578	0.091300879	0.078378292	0.11181626	0.130344246	0.113135082	0.118126593	0.06327223	0.109504812	0.11847866	0.098402474	0.091874179	0.102863368	0.09969172	0.113322188	0.068242503	0.139528828	0.107260702	0.126579253	0.064753395	0.079991799	0	0.139526785	0.103977731	0.160158582	0.092259544	0.114309022	0.061125654	0.115223826	0.145474141	0.146940921	0.142212217	0.178454099
